job_id,cost_code,description,budget,actual_cost,committed_cost,period
J-2501,0100,Steel Material,1750000,1285000,420000,2026-02
J-2501,0200,Shop Labor,680000,412000,0,2026-02
J-2501,0300,Field Labor,820000,318000,0,2026-02
J-2501,0400,Equipment,245000,142000,58000,2026-02
J-2501,0500,Subcontract,330000,165000,165000,2026-02
J-2501,0600,Engineering,185000,178000,0,2026-02
J-2501,0700,Paint/Coatings,112500,62000,38000,2026-02
J-2502,0100,Steel Material,785000,692000,78000,2026-02
J-2502,0200,Shop Labor,345000,298000,0,2026-02
J-2502,0300,Field Labor,410000,285000,0,2026-02
J-2502,0400,Equipment,112000,95000,12000,2026-02
J-2502,0500,Subcontract,98000,88000,10000,2026-02
J-2502,0600,Engineering,62000,62000,0,2026-02
J-2502,0700,Paint/Coatings,37000,28000,9000,2026-02
J-2503,0100,Steel Material,1165000,485000,620000,2026-02
J-2503,0200,Shop Labor,455000,182000,0,2026-02
J-2503,0300,Field Labor,580000,98000,0,2026-02
J-2503,0400,Equipment,198000,72000,85000,2026-02
J-2503,0500,Subcontract,175000,45000,130000,2026-02
J-2503,0600,Engineering,112000,95000,0,2026-02
J-2503,0700,Paint/Coatings,67000,18000,42000,2026-02
J-2504,0100,Steel Material,295000,248000,32000,2026-02
J-2504,0200,Shop Labor,148000,132000,0,2026-02
J-2504,0300,Field Labor,175000,98000,0,2026-02
J-2504,0400,Equipment,52000,38000,8000,2026-02
J-2504,0500,Subcontract,45000,45000,0,2026-02
J-2504,0600,Engineering,22500,22500,0,2026-02
J-2504,0700,Paint/Coatings,15000,12000,3000,2026-02
J-2505,0100,Steel Material,595000,125000,385000,2026-02
J-2505,0200,Shop Labor,262000,68000,0,2026-02
J-2505,0300,Field Labor,310000,22000,0,2026-02
J-2505,0400,Equipment,88000,18000,45000,2026-02
J-2505,0500,Subcontract,72000,0,72000,2026-02
J-2505,0600,Engineering,48500,42000,0,2026-02
J-2505,0700,Paint/Coatings,27000,4000,18000,2026-02
J-2506,0100,Steel Material,168000,172000,0,2025-12
J-2506,0200,Shop Labor,85000,92000,0,2025-12
J-2506,0300,Field Labor,98000,95000,0,2025-12
J-2506,0400,Equipment,32000,28500,0,2025-12
J-2506,0500,Subcontract,22000,22000,0,2025-12
J-2506,0600,Engineering,18800,18800,0,2025-12
J-2506,0700,Paint/Coatings,13000,14200,0,2025-12
J-2507,0100,Steel Material,325000,82000,215000,2026-02
J-2507,0200,Shop Labor,165000,35000,0,2026-02
J-2507,0300,Field Labor,198000,12000,0,2026-02
J-2507,0400,Equipment,58000,8000,32000,2026-02
J-2507,0500,Subcontract,48000,0,48000,2026-02
J-2507,0600,Engineering,24000,18000,0,2026-02
J-2507,0700,Paint/Coatings,15000,2000,10000,2026-02
