week_ending,job_id,employee_count,regular_hours,overtime_hours,total_cost,hours_per_ton
2026-03-07,J-2501,18,720,85,128500,22.5
2026-03-07,J-2502,12,480,62,87200,24.1
2026-03-07,J-2503,14,560,45,94800,21.8
2026-03-07,J-2504,6,240,28,44200,26.2
2026-03-07,J-2505,8,320,18,52400,20.5
2026-03-07,J-2507,4,160,12,28600,23.8
2026-02-28,J-2501,18,720,72,124800,22.1
2026-02-28,J-2502,14,560,78,102500,23.5
2026-02-28,J-2503,12,480,32,80200,21.2
2026-02-28,J-2504,8,320,42,59800,25.8
2026-02-28,J-2505,6,240,8,38200,19.8
2026-02-21,J-2501,16,640,58,110200,21.8
2026-02-21,J-2502,14,560,65,99800,23.2
2026-02-21,J-2503,10,400,22,65800,20.8
2026-02-21,J-2504,8,320,38,57200,25.4
2026-02-14,J-2501,16,640,48,107500,21.4
